"","N.obs.k","accuracy.ksets"
"1",16,0.758064516129032
"2",17,0.761079774375504
"3",27,0.785829307568438
"4",53,0.774387796065837
"5",62,0.765725806451613
"6",158,0.774261603375527
"7",258,0.758397932816537
"8",282,0.754432624113475
"9",284,0.780369718309859
"10",290,0.762931034482759
"11",313,0.764034687357371
"12",330,0.767965367965368
"13",371,0.76774483378257
"14",398,0.772613065326633
"15",423,0.784397163120567
"16",438,0.772146118721461
"17",440,0.784090909090909
"18",503,0.774353876739563
"19",516,0.771802325581395
"20",534,0.76685393258427
"21",537,0.772811918063315
"22",626,0.770500532481363
"23",630,0.787830687830688
"24",631,0.774960380348653
"25",648,0.762860082304527
"26",687,0.779718583212033
"27",710,0.763849765258216
"28",724,0.773480662983425
"29",768,0.769965277777778
"30",774,0.757967269595177
"31",788,0.774111675126903
"32",841,0.760998810939358
"33",844,0.752962085308057
"34",862,0.776682134570766
"35",872,0.760894495412844
"36",889,0.78740157480315
"37",893,0.776595744680851
"38",894,0.78076062639821
"39",896,0.77734375
"40",904,0.769911504424779
"41",925,0.758918918918919
"42",939,0.763045793397231
"43",944,0.753707627118644
"44",965,0.794300518134715
"45",968,0.770661157024793
"46",971,0.772914521112255
"47",1044,0.763409961685824
"48",1160,0.763793103448276
"49",1214,0.787479406919275
"50",1238,0.769789983844911
"51",1247,0.781074578989575
"52",1248,0.771634615384615
"53",1255,0.764940239043825
"54",1267,0.774269928966062
"55",1279,0.780297107114933
"56",1285,0.756420233463035
"57",1294,0.755023183925811
"58",1295,0.765250965250965
"59",1303,0.778204144282425
"60",1351,0.766099185788305
"61",1410,0.783687943262411
"62",1415,0.756183745583039
"63",1420,0.774647887323944
"64",1444,0.783240997229917
"65",1447,0.766413268832066
"66",1451,0.796691936595451
"67",1464,0.780737704918033
"68",1506,0.757636122177955
"69",1512,0.762566137566138
"70",1529,0.779594506213211
"71",1548,0.77390180878553
"72",1554,0.768339768339768
"73",1562,0.753521126760563
"74",1564,0.762787723785166
"75",1573,0.779402415766052
"76",1574,0.764294790343075
"77",1575,0.796825396825397
"78",1593,0.779661016949153
"79",1612,0.766129032258065
"80",1637,0.766646304215027
"81",1645,0.770212765957447
"82",1656,0.772946859903382
"83",1658,0.768998793727382
"84",1664,0.780649038461538
"85",1696,0.790683962264151
"86",1706,0.759671746776084
"87",1716,0.76981351981352
"88",1728,0.778935185185185
"89",1766,0.770668176670442
"90",1774,0.767192784667418
"91",1792,0.766741071428571
"92",1794,0.783723522853958
"93",1914,0.781086729362591
"94",1956,0.763803680981595
"95",1958,0.77732379979571
"96",1970,0.785279187817259
"97",2040,0.770098039215686
"98",2100,0.781904761904762
"99",2120,0.761320754716981
"100",2138,0.765668849391955
"101",2232,0.772401433691756
"102",2288,0.771853146853147
