"","length.boot.weights","accuracy.Sup3","accuracy.trad"
"1",16,0.950806451612903,0.795967741935484
"2",21,0.947538337368846,0.799435028248588
"3",38,0.9582995951417,0.791497975708502
"4",178,0.95585874799358,0.804574638844302
"5",198,0.964646464646465,0.801346801346801
"6",224,0.963474025974026,0.793019480519481
"7",252,0.962962962962963,0.815696649029982
"8",270,0.963374485596708,0.801234567901235
"9",327,0.962429008300568,0.802533857579729
"10",375,0.956888888888889,0.797777777777778
"11",421,0.969596199524941,0.809026128266033
"12",422,0.963507109004739,0.803317535545024
"13",537,0.962290502793296,0.810521415270019
"14",634,0.965299684542587,0.798107255520505
"15",649,0.961479198767334,0.80688238315357
"16",654,0.961264016309888,0.801732925586137
"17",684,0.962962962962963,0.800194931773879
"18",836,0.965909090909091,0.799043062200957
"19",848,0.965212264150943,0.800707547169811
"20",854,0.964285714285714,0.807962529274005
"21",859,0.971478463329453,0.80093131548312
"22",865,0.960115606936416,0.815606936416185
"23",923,0.969122426868906,0.807692307692308
"24",1026,0.953216374269006,0.786549707602339
"25",1247,0.963512429831596,0.796311146752205
"26",1248,0.955929487179487,0.797275641025641
"27",1267,0.970007892659826,0.803472770323599
"28",1279,0.963252541047694,0.82017200938233
"29",1282,0.957878315132605,0.787051482059282
"30",1293,0.966744006187162,0.808971384377417
"31",1299,0.970746728252502,0.78598922247883
"32",1311,0.964912280701754,0.806254767353165
"33",1356,0.967551622418879,0.798672566371681
"34",1418,0.956981664315938,0.793370944992948
"35",1481,0.963538149898717,0.814989871708305
"36",1524,0.963910761154856,0.795275590551181
"37",1534,0.958279009126467,0.808344198174707
"38",1540,0.965584415584416,0.805844155844156
"39",1579,0.960734642178594,0.8068397720076
"40",1598,0.961827284105131,0.792240300375469
"41",1612,0.96029776674938,0.783498759305211
"42",1620,0.964197530864198,0.798148148148148
"43",1664,0.959134615384615,0.808894230769231
"44",1732,0.970554272517321,0.795034642032333
"45",1794,0.96098104793757,0.785395763656633
"46",1800,0.966666666666667,0.793888888888889
"47",1812,0.966335540838852,0.805187637969095
"48",1950,0.967692307692308,0.805128205128205
"49",1956,0.961145194274029,0.807770961145194
"50",2012,0.959244532803181,0.797216699801193
"51",2120,0.966037735849057,0.800471698113208
"52",2238,0.967381590705988,0.802502234137623
